Title;Source;DOI;Year Published;WOS number
DEEP-WATER INCISED VALLEY DEPOSITS AT THE EDIACARAN-CAMBRIAN BOUNDARY IN SOUTHERN NAMIBIA CONTAIN ABUNDANT TREPTICHNUS PEDUM;PALAIOS;10.2110/palo.2011.p11-036r;2012;WOS:000304337800011
Comparing salinity tolerance in early stages of the sporophytes of a non-indigenous kelp (Undaria pinnatifida) and a native kelp (Saccharina latissima);RUSSIAN JOURNAL OF MARINE BIOLOGY;10.1134/S1063074012020095;2012;WOS:000304311000010
Acoustic and behavioural changes by fin whales (Balaenoptera physalus) in response to shipping and airgun noise;BIOLOGICAL CONSERVATION;10.1016/j.biocon.2011.12.021;2012;WOS:000302972700015
First global approach: morphological and biological variability in a genetically homogeneous population of the European pilchard, Sardina pilchardus (Walbaum, 1792) in the North Atlantic coast;REVIEWS IN FISH BIOLOGY AND FISHERIES;10.1007/s11160-011-9223-9;2012;WOS:000303895100006
Escaped introduced sea bass (Dicentrarchus labrax) infected by Sphaerospora testicularis (Myxozoa) reach maturity in coastal habitats off Canary Islands;MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE;10.1111/j.1439-0485.2011.00470.x;2012;WOS:000302950800002
Seaweed assemblage changes in the eastern Cantabrian Sea and their potential relationship to climate change;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2011.12.027;2012;WOS:000302448300011
Developmental origin of a major difference in sensory patterning between zebrafish and bluefin tuna;EVOLUTION & DEVELOPMENT;10.1111/j.1525-142X.2012.00529.x;2012;WOS:000302541800006
Bloom of Gymnodinium catenatum in Bahia Santiago and Bahia Manzanillo, Colima, Mexico;REVISTA DE BIOLOGIA TROPICAL;;2012;WOS:000301811100012
Ocean Bottom Seismometer: Design and Test of a Measurement System for Marine Seismology;SENSORS;10.3390/s120303693;2012;WOS:000302125000078
Influence of environmental variables on the spatio-temporal dynamics of bentho-pelagic assemblages in the middle slope of the Balearic Basin (NW Mediterranean);DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS;10.1016/j.dsr.2011.11.008;2012;WOS:000301888000008
Scales characterising a high density thin layer of Dinophysis acuta Ehrenberg and its transport within a coastal jet;HARMFUL ALGAE;10.1016/j.hal.2011.11.003;2012;WOS:000302042100005
Alternating diatomaceous and volcaniclastic deposits in Milos Island, Greece. A contribution to the upper Pliocene-lower Pleistocene stratigraphy of the Aegean Sea;PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY;10.1016/j.palaeo.2012.01.013;2012;WOS:000301912000003
Aragonitic dendritic prismatic shell microstructure in Thracia (Bivalvia, Anomalodesmata);INVERTEBRATE BIOLOGY;10.1111/j.1744-7410.2011.00254.x;2012;WOS:000301283500003
Reproduction of the Atlantic bobtail squid Sepiola atlantica (Cephalopoda: Sepiolidae) in northwest Spain;INVERTEBRATE BIOLOGY;10.1111/j.1744-7410.2011.00253.x;2012;WOS:000301283500004
Role of food availability in the bathymetric distribution of the starfish Marthasterias glacialis (Lamk.) on reefs of northern Portugal;SCIENTIA MARINA;10.3989/scimar.2012.76n1009;2012;WOS:000301806800002
Marine benthic cartography of the Cap de Creus (NE Catalan Coast, Mediterranean Sea);SCIENTIA MARINA;10.3989/scimar.03101.18D;2012;WOS:000301806800017
Glacioeustatic cyclicity of a Pennsylvanian carbonate platform in a foreland basin setting: An example from the Bachende Formation of the Cantabrian Zone (NW Spain);SEDIMENTARY GEOLOGY;10.1016/j.sedgeo.2011.12.009;2012;WOS:000301695300006
Benthic macrofauna assemblages and biochemical properties of sediments in two Antarctic regions differently affected by climate change;CONTINENTAL SHELF RESEARCH;10.1016/j.csr.2011.12.008;2012;WOS:000301616600005
Saltmarsh creek bank stability: Biostabilisation and consolidation with depth;CONTINENTAL SHELF RESEARCH;10.1016/j.csr.2011.12.009;2012;WOS:000301616600006
Rare earth elements in coastal sediments of the northern Galician shelf: Influence of geological features;CONTINENTAL SHELF RESEARCH;10.1016/j.csr.2011.12.010;2012;WOS:000301616600007
Abundance, population structure and vertical distribution of dominant calanoid copepods on the eastern Weddell Sea shelf during a spring phytoplankton bloom;POLAR BIOLOGY;10.1007/s00300-011-1083-1;2012;WOS:000301452600005
Investigating a high ozone episode in a rural mountain site;ENVIRONMENTAL POLLUTION;10.1016/j.envpol.2011.11.008;2012;WOS:000301087800023
Spatial and temporal patterns in the movement of adult two-banded sea bream Diplodus vulgaris (Saint-Hilaire, 1817);FISHERIES RESEARCH;10.1016/j.fishres.2011.11.025;2012;WOS:000301203900008
Continental Climatic and Weathering Response to the Eocene-Oligocene Transition;JOURNAL OF GEOLOGY;10.1086/663984;2012;WOS:000301332700008
Molecular characterization and transcriptional regulation of the sodium-dependent vitamin C transporter genes (slc23a1 and slc23a2) in a teleost fish, the Senegalese sole (Solea senegalensis);COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY;10.1016/j.cbpb.2011.11.010;2012;WOS:000300808500003
Influence of an experimental fish farm on the spatio-temporal dynamic of a Mediterranean maerl algae community;MARINE ENVIRONMENTAL RESEARCH;10.1016/j.marenvres.2011.12.003;2012;WOS:000300819000006
Improvement in Quality Control for Applications Used by Marine Engineers;COMPUTER APPLICATIONS IN ENGINEERING EDUCATION;10.1002/cae.20384;2012;WOS:000300428400018
A new species of Caprella (Crustacea: Amphipoda) from the Mediterranean Sea;HELGOLAND MARINE RESEARCH;10.1007/s10152-011-0244-5;2012;WOS:000300505500004
An evaluation of benthic community structure in and around the Sackville Spur closed area (Northwest Atlantic) in relation to the protection of vulnerable marine ecosystems;ICES JOURNAL OF MARINE SCIENCE;10.1093/icesjms/fss004;2012;WOS:000300491200008
Use of the otolith shape analysis in stock identification of anglerfish (Lophius piscatorius) in the Northeast Atlantic;ICES JOURNAL OF MARINE SCIENCE;10.1093/icesjms/fss006;2012;WOS:000300491200012
Effects of environmental conditions and fishing operations on the performance of a bottom trawl;ICES JOURNAL OF MARINE SCIENCE;10.1093/icesjms/fsr211;2012;WOS:000300491200017
Dietary protein quality differentially regulates trypsin enzymes at the secretion and transcription level in Panulirus argus by distinct signaling pathways;JOURNAL OF EXPERIMENTAL BIOLOGY;10.1242/jeb.063925;2012;WOS:000300415400025
Atlantic Multidecadal Oscillation (AMO) and sea surface temperature in the Bay of Biscay and adjacent regions;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315410002134;2012;WOS:000299931800001
Genetic characterization, based on microsatellite loci, of Solea senegalensis (Soleidae, Pleuronectiformes) in Atlantic coast populations of the SW Iberian Peninsula;CIENCIAS MARINAS;10.7773/cm.v38i1A.1824;2012;WOS:000302487200010
Forensic DNA analysis reveals use of high trophic level marine fish in commercial aquaculture fish meals;FISHERIES RESEARCH;10.1016/j.fishres.2011.08.011;2012;WOS:000301203900012
Neotectonics of the SW Iberia margin, Gulf of Cadiz and Alboran Sea: a reassessment including recent structural, seismic and geodetic data;GEOPHYSICAL JOURNAL INTERNATIONAL;10.1111/j.1365-246X.2011.05328.x;2012;WOS:000300567400007
The use of diatom assemblages as ecological indicators in highly stratified estuaries and evaluation of existing diatom indices;MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2012.01.005;2012;WOS:000301875600019
Assessment of the effects of a marine urban outfall discharge on caged mussels using chemical and biomarker analysis;MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2011.12.018;2012;WOS:000301875600026
Detecting regional anthropogenic trends in ocean acidification against natural variability;NATURE CLIMATE CHANGE;10.1038/NCLIMATE1372;2012;WOS:000301632200016
Inter- and intra-annual trends and status indicators of nektobenthic elasmobranchs off the Balearic Islands (northwestern Mediterranean);SCIENTIA MARINA;10.3989/scimar.03432.22A;2012;WOS:000301806800010
Seasonal patterns in the sunlight sensitivity of bacterioplankton from Mediterranean surface coastal waters;FEMS MICROBIOLOGY ECOLOGY;10.1111/j.1574-6941.2011.01247.x;2012;WOS:000299257300009
Actions taken by fishing Nations towards identification and protection of vulnerable marine ecosystems in the high seas: The Spanish case (Atlantic Ocean);MARINE POLICY;10.1016/j.marpol.2011.09.005;2012;WOS:000298219300031
Effects of Temperature, Salinity and Fish in Structuring the Macroinvertebrate Community in Shallow Lakes: Implications for Effects of Climate Change;PLOS ONE;10.1371/journal.pone.0030877;2012;WOS:000303003500007
The Structure of Mediterranean Rocky Reef Ecosystems across Environmental and Human Gradients, and Conservation Implications;PLOS ONE;10.1371/journal.pone.0032742;2012;WOS:000303003500099
Marine Invasion in the Mediterranean Sea: The Role of Abiotic Factors When There Is No Biological Resistance;PLOS ONE;10.1371/journal.pone.0031135;2012;WOS:000302873700029
Upwelling response to atmospheric coastal jets off central Chile: A modeling study of the October 2000 event;JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS;10.1029/2011JC007446;2012;WOS:000300821500002
Macrofossils in Raraku Lake (Easter Island) integrated with sedimentary and geochemical records: towards a palaeoecological synthesis for the last 34,000 years;QUATERNARY SCIENCE REVIEWS;10.1016/j.quascirev.2011.12.013;2012;WOS:000301826100009
Differences in coastal and oceanic SST trends due to the strengthening of coastal upwelling along the Benguela current system;CONTINENTAL SHELF RESEARCH;10.1016/j.csr.2011.12.004;2012;WOS:000300033000009
Long-term aerosol measurements in Gran Canaria, Canary Islands: Particle concentration, sources and elemental composition;JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES;10.1029/2011JD016646;2012;WOS:000300821000002
Surface analysis of free surface and velocity to changes in river flow and tidal amplitude on a shallow mesotidal estuary: An application in Suances Estuary (Nothern Spain);JOURNAL OF HYDROLOGY;10.1016/j.jhydrol.2011.12.021;2012;WOS:000301082000026
The influence of summer upwelling at the western boundary of the Cantabrian coast;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2011.12.009;2012;WOS:000300805100014
Foraging ecology of five toothed whale species in the Northwest Iberian Peninsula, inferred using carbon and nitrogen isotope ratios;JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY;10.1016/j.jembe.2011.12.007;2012;WOS:000301031500022
Diel vertical behavior of Copepoda community (naupliar, copepodites and adults) at the boundary of a temperate estuary and coastal waters;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2011.11.018;2012;WOS:000300805100002
Sea-level rise and anthropogenic activities recorded in the late Pleistocene/Holocene sedimentary infill of the Guadiana Estuary (SW Iberia);QUATERNARY SCIENCE REVIEWS;10.1016/j.quascirev.2011.12.002;2012;WOS:000300926700010
Comparison of Mediterranean sea level variability as given by three baroclinic models;JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS;10.1029/2011JC007277;2012;WOS:000299955100001
Behavioural indicators of welfare in farmed fish;FISH PHYSIOLOGY AND BIOCHEMISTRY;10.1007/s10695-011-9518-8;2012;WOS:000304115700003
Demand feeding and welfare in farmed fish;FISH PHYSIOLOGY AND BIOCHEMISTRY;10.1007/s10695-011-9538-4;2012;WOS:000304115700007
Does feeding time affect fish welfare?;FISH PHYSIOLOGY AND BIOCHEMISTRY;10.1007/s10695-011-9523-y;2012;WOS:000304115700009
Cortisol and finfish welfare;FISH PHYSIOLOGY AND BIOCHEMISTRY;10.1007/s10695-011-9568-y;2012;WOS:000304115700011
Tipping Elements in the Arctic Marine Ecosystem;AMBIO;10.1007/s13280-011-0224-7;2012;WOS:000303462700005
Internal waves, an under-explored source of turbulence events in the sedimentary record;EARTH-SCIENCE REVIEWS;10.1016/j.earscirev.2011.12.005;2012;WOS:000301758200003
Palaeogeography and relative sea-level history forcing eco-sedimentary contexts in Late Jurassic epicontinental shelves (Prebetic Zone, Betic Cordillera): An ecostratigraphic approach;EARTH-SCIENCE REVIEWS;10.1016/j.earscirev.2011.11.004;2012;WOS:000301758200009
Genetic considerations on the introduction of farmed fish in marine protected areas: The case of study of white seabream restocking in the Gulf of Castellammare (Southern Tyrrhenian Sea);JOURNAL OF SEA RESEARCH;10.1016/j.seares.2011.12.005;2012;WOS:000301688400005
Past and current trophic development in Lake Ammersee - Alterations in a normal range or possible signals of climate change?;FUNDAMENTAL AND APPLIED LIMNOLOGY;10.1127/1863-9135/2012/0123;2012;WOS:000301430300004
Regression Models for Outlier Identification (Hurricanes and Typhoons) in Wave Hindcast Databases;JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY;10.1175/JTECH-D-11-00059.1;2012;WOS:000300389400010
Potential of three new krill products for seabream larval production;AQUACULTURE RESEARCH;10.1111/j.1365-2109.2011.02842.x;2012;WOS:000299833300008
Precision timing in ocean sensor systems;MEASUREMENT SCIENCE AND TECHNOLOGY;10.1088/0957-0233/23/2/025801;2012;WOS:000300057900035
Molecular regulation of both dietary vitamin A and fatty acid absorption and metabolism associated with larval morphogenesis of Senegalese sole (Solea senegalensis);COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY;10.1016/j.cbpa.2011.10.001;2012;WOS:000300069700005
Intertidal meiofauna communities along an estuarine gradient in a protected area (Ria de Foz, north-west Spain);JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315411000580;2012;WOS:000299655400006
Comparison Between Individual and Group Rearing Systems in Octopus vulgaris (Cuvier, 1797);JOURNAL OF THE WORLD AQUACULTURE SOCIETY;10.1111/j.1749-7345.2011.00540.x;2012;WOS:000299729400005
Controls on marine-erg margin cycle variability: aeolian-marine interaction in the mid-Cretaceous Iberian Desert System, Spain;SEDIMENTOLOGY;10.1111/j.1365-3091.2011.01261.x;2012;WOS:000299155300007
Nummulitic banks in the upper Lutetian 'Buil level', Ainsa Basin, South Central Pyrenean Zone: the impact of internal waves;SEDIMENTOLOGY;10.1111/j.1365-3091.2011.01263.x;2012;WOS:000299155300009
Tempestite facies models for the epicontinental Triassic carbonates of the Betic Cordillera (southern Spain);SEDIMENTOLOGY;10.1111/j.1365-3091.2011.01270.x;2012;WOS:000299155300014
Lipid classes from marine species and meals intended for cephalopod feeding;AQUACULTURE INTERNATIONAL;10.1007/s10499-011-9442-z;2012;WOS:000299171200007
Bioaccumulation and Biomagnification of Total Mercury in Four Exploited Shark Species in the Baja California Peninsula, Mexico;BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY;10.1007/s00128-011-0499-1;2012;WOS:000299328300003
Climate modulation of fish populations: the role of the Western Mediterranean Oscillation (WeMO) in sardine (Sardina pilchardus) and anchovy (Engraulis encrasicolus) production in the north-western Mediterranean;CLIMATIC CHANGE;10.1007/s10584-011-0091-z;2012;WOS:000299346900022
Temporal and spatial changes of PAH concentrations in Mytilus galloprovincialis from Ria de Vigo (NW Spain);ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH;10.1007/s11356-011-0584-3;2012;WOS:000299330800022
A potential tool to mitigate the impacts of climate change to the caribbean leatherback sea turtle;GLOBAL CHANGE BIOLOGY;10.1111/j.1365-2486.2011.02532.x;2012;WOS:000299042500001
Differences in cytochrome P450 enzyme activities between fish and crustacea: Relationship with the bioaccumulation patterns of polychlorobiphenyls (PCBs);AQUATIC TOXICOLOGY;10.1016/j.aquatox.2011.10.016;2012;WOS:000301470300003
Questioning the Rise of Gelatinous Zooplankton in the World's Oceans;BIOSCIENCE;10.1525/bio.2012.62.2.9;2012;WOS:000300125000008
Assessing the Effectiveness of Marine Reserves on Unsustainably Harvested Long-Lived Sessile Invertebrates;CONSERVATION BIOLOGY;10.1111/j.1523-1739.2011.01795.x;2012;WOS:000299468600012
Ecological replacement of Valanginian agglutinated foraminifera during a maximum flooding event in the Boreal realm (Spitsbergen);CRETACEOUS RESEARCH;10.1016/j.cretres.2011.10.003;2012;WOS:000298718400020
Winter to spring changes in the slush bacterial community composition of a high-mountain lake (Lake Redon, Pyrenees);ENVIRONMENTAL MICROBIOLOGY REPORTS;10.1111/j.1758-2229.2011.00278.x;2012;WOS:000303241400007
Dietary nitrogen and fish welfare;FISH PHYSIOLOGY AND BIOCHEMISTRY;10.1007/s10695-011-9592-y;2012;WOS:000304115700008
Species misidentification in mixed hake fisheries may lead to overexploitation and population bottlenecks;FISHERIES RESEARCH;10.1016/j.fishres.2011.05.012;2012;WOS:000300917200006
Girona 500 AUV: From Survey to Intervention;IEEE-ASME TRANSACTIONS ON MECHATRONICS;10.1109/TMECH.2011.2174065;2012;WOS:000299442200006
Hepatocyte Nuclear Factor 4 alpha Transactivates the Mitochondrial Alanine Aminotransferase Gene in the Kidney of Sparus aurata;MARINE BIOTECHNOLOGY;10.1007/s10126-011-9386-3;2012;WOS:000298882700005
Oxidative stress, genotoxicity and histopathology biomarker responses in mullet (Mugil cephalus) and sea bass (Dicentrarchus labrax) liver from Bizerte Lagoon (Tunisia);MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2011.11.026;2012;WOS:000300864800022
Phylogeographic patterns of decapod crustaceans at the Atlantic-Mediterranean transition;MOLECULAR PHYLOGENETICS AND EVOLUTION;10.1016/j.ympev.2011.11.009;2012;WOS:000299244400007
Contribution of arbuscular mycorrhizal symbiosis to the survival of psammophilic plants after sea water flooding;PLANT AND SOIL;10.1007/s11104-011-0933-5;2012;WOS:000299959100007
Implications of Extreme Life Span in Clonal Organisms: Millenary Clones in Meadows of the Threatened Seagrass Posidonia oceanica;PLOS ONE;10.1371/journal.pone.0030454;2012;WOS:000301977500010
Regime shift from phytoplankton to macrophyte dominance in a large river: Top-down versus bottom-up effects;SCIENCE OF THE TOTAL ENVIRONMENT;10.1016/j.scitotenv.2011.11.059;2012;WOS:000301155200036
Impacts on the Deep-Sea Ecosystem by a Severe Coastal Storm;PLOS ONE;10.1371/journal.pone.0030395;2012;WOS:000301640600029
Metazoan parasites on the gills of the skipjack tuna Katsuwonus pelamis (Osteichthyes: Scombridae) from the Alboran Sea (western Mediterranean Sea);DISEASES OF AQUATIC ORGANISMS;10.3354/dao02421;2012;WOS:000299419800005
Drivers of larval fish assemblage shift during the spring-summer transition in the coastal Mediterranean;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2011.11.029;2012;WOS:000300745500013
Understanding target-like signals in coastal altimetry: Experimentation of a tomographic imaging technique;GEOPHYSICAL RESEARCH LETTERS;10.1029/2011GL050237;2012;WOS:000299394200003
Climatic Control of Upwelling Variability along the Western North-American Coast;PLOS ONE;10.1371/journal.pone.0030436;2012;WOS:000301457200061
Is There a Seamount Effect on Microbial Community Structure and Biomass? The Case Study of Seine and Sedlo Seamounts (Northeast Atlantic);PLOS ONE;10.1371/journal.pone.0029526;2012;WOS:000299771900016
End-Cretaceous marine mass extinction not caused by productivity collapse;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;10.1073/pnas.1110601109;2012;WOS:000299154000023
Low environmental levels of fluoxetine induce spawning and changes in endogenous estradiol levels in the zebra mussel Dreissena polymorpha;AQUATIC TOXICOLOGY;10.1016/j.aquatox.2011.11.003;2012;WOS:000300205300015
Aquaporin-4 immunoreactivity in Muller and amacrine cells of marine teleost fish retina;BRAIN RESEARCH;10.1016/j.brainres.2011.11.014;2012;WOS:000300806600006
Underwater glider observations and modeling of an abrupt mixing event in the upper ocean;GEOPHYSICAL RESEARCH LETTERS;10.1029/2011GL050078;2012;WOS:000299178800002
Recent thermohaline trends of the Atlantic waters inflowing to the Mediterranean Sea;GEOPHYSICAL RESEARCH LETTERS;10.1029/2011GL049907;2012;WOS:000299178800001
Commercial products for Artemia enrichment affect growth performance, digestive system maturation, ossification and incidence of skeletal deformities in Senegalese sole (Solea senegalensis) larvae;AQUACULTURE;10.1016/j.aquaculture.2011.11.018;2012;WOS:000302317300039
Coastal sea level rise in southern Europe and the nonclimate contribution of vertical land motion;JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS;10.1029/2011JC007469;2012;WOS:000299181400001
Basin-Scale Control on the Phytoplankton Biomass in Lake Victoria, Africa;PLOS ONE;10.1371/journal.pone.0029962;2012;WOS:000315865800020
The sequestration sink of soot black carbon in the Northern European Shelf sediments;GLOBAL BIOGEOCHEMICAL CYCLES;10.1029/2010GB003956;2012;WOS:000298931200001
Sparisoma choati, a new species of Parrotfish (Labridae: Scarinae) from the tropical eastern Atlantic;ZOOTAXA;;2012;WOS:000299942900003
The leatherback turtle Dermochelys coriacea (Vandelli, 1761) in the Bay of Biscay and the North East Atlantic;Munibe Monographs-Nature Series;;2012;WOS:000321936700005
Habitat alteration and mortality of adult leatherback turtles in Gabon, Central Africa;Munibe Monographs-Nature Series;;2012;WOS:000321936700008
